_time,_measurement,_field,_value
2024-08-26 04:33:00+00:00,mqtt_consumer,ay,4.9559999999999995
2024-08-26 04:34:00+00:00,mqtt_consumer,ay,4.937250000000001
2024-08-26 04:35:00+00:00,mqtt_consumer,ay,4.944999999999999
2024-08-26 04:36:00+00:00,mqtt_consumer,ay,4.95025
2024-08-26 04:37:00+00:00,mqtt_consumer,ay,4.9499999999999975
2024-08-26 04:38:00+00:00,mqtt_consumer,ay,4.9695
2024-08-26 04:39:00+00:00,mqtt_consumer,ay,4.942749999999999
2024-08-26 04:40:00+00:00,mqtt_consumer,ay,4.966
2024-08-26 04:41:00+00:00,mqtt_consumer,ay,4.94325
2024-08-26 04:42:00+00:00,mqtt_consumer,ay,4.959499999999999
2024-08-26 04:43:00+00:00,mqtt_consumer,ay,4.94525
2024-08-26 04:44:00+00:00,mqtt_consumer,ay,4.956666666666667
2024-08-26 02:20:00+00:00,mqtt_consumer,az,7.071851851851852
2024-08-26 02:21:00+00:00,mqtt_consumer,az,7.062250000000001
2024-08-26 02:22:00+00:00,mqtt_consumer,az,7.065500000000002
2024-08-26 02:23:00+00:00,mqtt_consumer,az,7.071499999999999
2024-08-26 02:24:00+00:00,mqtt_consumer,az,7.077250000000001
2024-08-26 02:25:00+00:00,mqtt_consumer,az,7.074210526315791
2024-08-26 02:26:00+00:00,mqtt_consumer,az,7.0840000000000005
2024-08-26 02:27:00+00:00,mqtt_consumer,az,7.080000000000001
2024-08-26 02:28:00+00:00,mqtt_consumer,az,7.084999999999999
2024-08-26 02:29:00+00:00,mqtt_consumer,az,7.0802499999999995
2024-08-26 02:30:00+00:00,mqtt_consumer,az,7.0815
2024-08-26 02:31:00+00:00,mqtt_consumer,az,7.081000000000001
2024-08-26 02:32:00+00:00,mqtt_consumer,az,7.077749999999999
2024-08-26 02:33:00+00:00,mqtt_consumer,az,7.0649999999999995
2024-08-26 02:34:00+00:00,mqtt_consumer,az,7.0735
2024-08-26 02:35:00+00:00,mqtt_consumer,az,7.066750000000002
2024-08-26 02:36:00+00:00,mqtt_consumer,az,7.079250000000002
2024-08-26 02:37:00+00:00,mqtt_consumer,az,7.073750000000001
2024-08-26 02:38:00+00:00,mqtt_consumer,az,7.078
2024-08-26 02:39:00+00:00,mqtt_consumer,az,7.0745000000000005
2024-08-26 02:40:00+00:00,mqtt_consumer,az,7.077249999999999
2024-08-26 02:41:00+00:00,mqtt_consumer,az,7.068750000000001
2024-08-26 02:42:00+00:00,mqtt_consumer,az,7.067750000000001
2024-08-26 02:43:00+00:00,mqtt_consumer,az,7.078500000000001
2024-08-26 02:44:00+00:00,mqtt_consumer,az,7.0797500000000015
2024-08-26 02:45:00+00:00,mqtt_consumer,az,7.072749999999999
2024-08-26 02:46:00+00:00,mqtt_consumer,az,7.092750000000002
2024-08-26 02:47:00+00:00,mqtt_consumer,az,7.063250000000001
2024-08-26 02:48:00+00:00,mqtt_consumer,az,7.074000000000001
2024-08-26 02:49:00+00:00,mqtt_consumer,az,7.0870000000000015
2024-08-26 02:50:00+00:00,mqtt_consumer,az,7.074249999999999
2024-08-26 02:51:00+00:00,mqtt_consumer,az,7.090500000000001
2024-08-26 02:52:00+00:00,mqtt_consumer,az,7.081999999999999
2024-08-26 02:53:00+00:00,mqtt_consumer,az,7.08525
2024-08-26 02:54:00+00:00,mqtt_consumer,az,7.079000000000001
2024-08-26 02:55:00+00:00,mqtt_consumer,az,7.078000000000001
2024-08-26 02:56:00+00:00,mqtt_consumer,az,7.084000000000001
2024-08-26 02:57:00+00:00,mqtt_consumer,az,7.067499999999997
2024-08-26 02:58:00+00:00,mqtt_consumer,az,7.082749999999999
2024-08-26 02:59:00+00:00,mqtt_consumer,az,7.079500000000001
2024-08-26 03:00:00+00:00,mqtt_consumer,az,7.083999999999999
2024-08-26 03:01:00+00:00,mqtt_consumer,az,7.087500000000003
2024-08-26 03:02:00+00:00,mqtt_consumer,az,7.084000000000001
2024-08-26 03:03:00+00:00,mqtt_consumer,az,7.078
2024-08-26 03:04:00+00:00,mqtt_consumer,az,7.07625
2024-08-26 03:05:00+00:00,mqtt_consumer,az,7.088499999999999
2024-08-26 03:06:00+00:00,mqtt_consumer,az,7.083250000000001
2024-08-26 03:07:00+00:00,mqtt_consumer,az,7.079500000000003
2024-08-26 03:08:00+00:00,mqtt_consumer,az,7.0954999999999995
